wl,n
7.49,3.4698070608
7.50,3.4698067825
7.51,3.4698065025
7.52,3.4698062208
7.53,3.4698059374
7.54,3.4698056522
7.55,3.4698053651
7.56,3.4698050763
7.57,3.4698047856
7.58,3.4698044930
7.59,3.4698041986
7.60,3.4698039022
7.61,3.4698036038
7.62,3.4698033035
7.63,3.4698030011
7.64,3.4698026967
7.65,3.4698023902
7.66,3.4698020817
7.67,3.4698017710
7.68,3.4698014581
7.69,3.4698011430
7.70,3.4698008257
7.71,3.4698005061
7.72,3.4698001842
7.73,3.4697998599
7.74,3.4697995333
7.75,3.4697992042
7.76,3.4697988727
7.77,3.4697985387
7.78,3.4697982021
7.79,3.4697978629
7.80,3.4697975210
7.81,3.4697971765
7.82,3.4697968293
7.83,3.4697964792
7.84,3.4697961263
7.85,3.4697957706
7.86,3.4697954119
7.87,3.4697950502
7.88,3.4697946854
7.89,3.4697943175
7.90,3.4697939464
7.91,3.4697935721
7.92,3.4697931945
7.93,3.4697928135
7.94,3.4697924291
7.95,3.4697920411
7.96,3.4697916496
7.97,3.4697912544
7.98,3.4697908554
7.99,3.4697904526
8.00,3.4697900459
8.01,3.4697896352
8.02,3.4697892204
8.03,3.4697888015
8.04,3.4697883782
8.05,3.4697879505
8.06,3.4697875184
8.07,3.4697870817
8.08,3.4697866402
8.09,3.4697861939
8.10,3.4697857427
8.11,3.4697852863
8.12,3.4697848248
8.13,3.4697843579
8.14,3.4697838855
8.15,3.4697834075
8.16,3.4697829237
8.17,3.4697824339
8.18,3.4697819380
8.19,3.4697814358
8.20,3.4697809271
8.21,3.4697804118
8.22,3.4697798895
8.23,3.4697793602
8.24,3.4697788237
8.25,3.4697782796
8.26,3.4697777277
8.27,3.4697771678
8.28,3.4697765997
8.29,3.4697760230
8.30,3.4697754375
8.31,3.4697748429
8.32,3.4697742388
8.33,3.4697736250
8.34,3.4697730011
8.35,3.4697723667
8.36,3.4697717215
8.37,3.4697710649
8.38,3.4697703968
8.39,3.4697697164
8.40,3.4697690235
8.41,3.4697683175
8.42,3.4697675978
8.43,3.4697668640
8.44,3.4697661155
8.45,3.4697653515
8.46,3.4697645715
8.47,3.4697637748
8.48,3.4697629607
8.49,3.4697621283
8.50,3.4697612768
8.51,3.4697604054
8.52,3.4697595131
8.53,3.4697585990
8.54,3.4697576619
8.55,3.4697567009
8.56,3.4697557146
8.57,3.4697547018
8.58,3.4697536612
8.59,3.4697525913
8.60,3.4697514906
8.61,3.4697503575
8.62,3.4697491902
8.63,3.4697479868
8.64,3.4697467454
8.65,3.4697454639
8.66,3.4697441400
8.67,3.4697427713
8.68,3.4697413553
8.69,3.4697398893
8.70,3.4697383706
8.71,3.4697367960
8.72,3.4697351624
8.73,3.4697334667
8.74,3.4697317054
8.75,3.4697298751
8.76,3.4697279723
8.77,3.4697259937
8.78,3.4697239360
8.79,3.4697217962
8.80,3.4697195720
8.81,3.4697172618
8.82,3.4697148653
8.83,3.4697123837
8.84,3.4697098210
8.85,3.4697071846
8.86,3.4697044865
8.87,3.4697017457
8.88,3.4696989901
8.89,3.4696962597
8.90,3.4696936111
8.91,3.4696911227
8.92,3.4696889011
8.93,3.4696870894
8.94,3.4696858755
8.95,3.4696855002
8.96,3.4696862625
8.97,3.4696885166
8.98,3.4696926543
8.99,3.4696990647
9.00,3.4697080634
9.01,3.4697197945
9.02,3.4697341229
9.03,3.4697505589
9.04,3.4697682645
9.05,3.4697861677
9.06,3.4698031635
9.07,3.4698183264
9.08,3.4698310539
9.09,3.4698411026
9.10,3.4698485321
9.11,3.4698536043
9.12,3.4698566814
9.13,3.4698581480
9.14,3.4698583632
9.15,3.4698576367
9.16,3.4698562225
9.17,3.4698543219
9.18,3.4698520897
9.19,3.4698496431
9.20,3.4698470692
9.21,3.4698444319
9.22,3.4698417772
9.23,3.4698391379
9.24,3.4698365368
9.25,3.4698339892
9.26,3.4698315051
9.27,3.4698290906
9.28,3.4698267487
9.29,3.4698244805
9.30,3.4698222856
9.31,3.4698201626
9.32,3.4698181094
9.33,3.4698161233
9.34,3.4698142017
9.35,3.4698123414
9.36,3.4698105395
9.37,3.4698087929
9.38,3.4698070987
9.39,3.4698054540
9.40,3.4698038560
9.41,3.4698023021
9.42,3.4698007896
9.43,3.4697993163
9.44,3.4697978799
9.45,3.4697964782
9.46,3.4697951092
9.47,3.4697937710
9.48,3.4697924618
9.49,3.4697911799
9.50,3.4697899238
9.51,3.4697886918
9.52,3.4697874828
9.53,3.4697862952
9.54,3.4697851280
9.55,3.4697839798
9.56,3.4697828497
9.57,3.4697817366
9.58,3.4697806395
9.59,3.4697795575
9.60,3.4697784897
9.61,3.4697774353
9.62,3.4697763936
9.63,3.4697753638
9.64,3.4697743452
9.65,3.4697733372
9.66,3.4697723391
9.67,3.4697713505
9.68,3.4697703706
9.69,3.4697693991
9.70,3.4697684354
9.71,3.4697674790
9.72,3.4697665295
9.73,3.4697655865
9.74,3.4697646495
9.75,3.4697637182
9.76,3.4697627923
9.77,3.4697618713
9.78,3.4697609550
9.79,3.4697600430
9.80,3.4697591351
9.81,3.4697582309
9.82,3.4697573302
9.83,3.4697564328
9.84,3.4697555383
9.85,3.4697546466
9.86,3.4697537574
9.87,3.4697528706
9.88,3.4697519859
9.89,3.4697511032
9.90,3.4697502222
9.91,3.4697493429
9.92,3.4697484650
9.93,3.4697475884
9.94,3.4697467129
9.95,3.4697458385
9.96,3.4697449650
9.97,3.4697440923
9.98,3.4697432202
9.99,3.4697423488
10.00,3.4697414778
10.01,3.4697406072
10.02,3.4697397370
10.03,3.4697388670
10.04,3.4697379972
10.05,3.4697371275
10.06,3.4697362580
10.07,3.4697353885
10.08,3.4697345191
10.09,3.4697336496
10.10,3.4697327802
10.11,3.4697319108
10.12,3.4697310414
10.13,3.4697301719
10.14,3.4697293025
10.15,3.4697284332
10.16,3.4697275640
10.17,3.4697266949
10.18,3.4697258261
10.19,3.4697249575
10.20,3.4697240893
10.21,3.4697232215
10.22,3.4697223542
10.23,3.4697214877
10.24,3.4697206219
10.25,3.4697197570
10.26,3.4697188932
10.27,3.4697180306
10.28,3.4697171695
10.29,3.4697163099
10.30,3.4697154521
10.31,3.4697145964
10.32,3.4697137429
10.33,3.4697128919
10.34,3.4697120437
10.35,3.4697111986
10.36,3.4697103569
10.37,3.4697095188
10.38,3.4697086848
10.39,3.4697078552
10.40,3.4697070305
10.41,3.4697062109
10.42,3.4697053970
10.43,3.4697045891
10.44,3.4697037879
10.45,3.4697029938
10.46,3.4697022073
10.47,3.4697014290
10.48,3.4697006594
10.49,3.4696998993
10.50,3.4696991492
